epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0679,0.70416,3.46737,1.02369,0.00477,0.97143,0.29213,0.27579,0.35476,3.19855,0.79403,0.00017271,0.00017271,0.00017271
2,22.5928,0.69729,2.87091,0.9915,0.00571,1,0.59068,0.53149,0.47448,3.02761,0.80704,0.000348661,0.000348661,0.000348661
3,26.8763,0.73419,2.14589,1.01377,1,0.13615,0.68966,0.59725,0.51421,2.73513,0.83957,0.000518612,0.000518612,0.000518612
4,30.772,0.75085,1.65306,1.0275,0.85088,0.68408,0.82922,0.70067,0.50253,2.0426,0.84852,0.000682564,0.000682564,0.000682564
5,34.1396,0.77639,1.3717,1.04351,0.74463,0.65625,0.77268,0.65186,0.55257,1.55546,0.87368,0.000840516,0.000840516,0.000840516
6,37.6507,0.7308,1.26755,1.01619,0.61975,0.8745,0.80163,0.71884,0.50203,1.26887,0.93565,0.000834007,0.000834007,0.000834007
7,42.2121,0.70708,1.15355,1.01836,0.81319,0.90441,0.90476,0.79094,0.54475,1.03818,0.93672,0.000819009,0.000819009,0.000819009
8,45.5832,0.67658,1.06348,0.99837,0.94245,0.84396,0.9644,0.85865,0.51153,1.10487,0.88822,0.00080401,0.00080401,0.00080401
9,48.9642,0.64399,1.05499,0.97607,0.90636,0.934,0.96443,0.85793,0.47407,0.71149,0.86812,0.000789012,0.000789012,0.000789012
10,52.9644,0.67758,1.02862,0.99077,0.79661,0.90376,0.90179,0.78559,0.56926,0.97922,0.93308,0.000774013,0.000774013,0.000774013
11,56.7803,0.64015,0.94599,0.9772,0.96598,0.94326,0.9831,0.88334,0.43256,0.67631,0.90512,0.000759015,0.000759015,0.000759015
12,60.204,0.64086,0.90725,0.97746,0.94484,0.98521,0.9848,0.87081,0.47578,0.79932,0.92406,0.000744016,0.000744016,0.000744016
13,63.5576,0.61923,0.88652,0.97789,0.96265,0.98989,0.995,0.88415,0.44695,0.64087,0.88069,0.000729018,0.000729018,0.000729018
14,68.1657,0.65256,0.9207,0.98559,0.90792,0.92953,0.9581,0.86227,0.44546,0.65527,0.90255,0.000714019,0.000714019,0.000714019
15,71.5047,0.61789,0.88583,0.9657,0.91285,0.89483,0.96643,0.86622,0.44734,0.62551,0.88515,0.000699021,0.000699021,0.000699021
16,74.862,0.65195,0.85345,0.9922,0.90602,0.97467,0.995,0.90526,0.45468,0.55849,0.91351,0.000684022,0.000684022,0.000684022
17,78.6253,0.62115,0.84322,0.97731,0.95332,0.97874,0.995,0.89867,0.45579,0.52612,0.92738,0.000669024,0.000669024,0.000669024
18,82.7652,0.55311,0.76879,0.95141,0.96823,0.99876,0.995,0.9042,0.44625,0.54617,0.90252,0.000654025,0.000654025,0.000654025
19,86.0671,0.62166,0.83345,0.97193,0.98065,0.95531,0.995,0.91237,0.38686,0.52403,0.87215,0.000639027,0.000639027,0.000639027
20,89.5157,0.59927,0.77343,0.96128,0.98108,1,0.995,0.93482,0.37664,0.4866,0.87769,0.000624028,0.000624028,0.000624028
21,94.1389,0.60526,0.78165,0.97747,0.98026,1,0.995,0.92322,0.3578,0.49964,0.85884,0.00060903,0.00060903,0.00060903
22,97.5023,0.5866,0.76275,0.95547,0.96416,0.96664,0.99173,0.91749,0.38362,0.51223,0.86636,0.000594031,0.000594031,0.000594031
23,100.841,0.58697,0.74358,0.95626,0.98666,1,0.995,0.92092,0.39663,0.48778,0.86339,0.000579033,0.000579033,0.000579033
24,104.439,0.58627,0.72772,0.96368,0.97141,0.99135,0.995,0.91914,0.39628,0.44131,0.85905,0.000564034,0.000564034,0.000564034
25,108.79,0.54762,0.70347,0.94753,0.97653,0.99534,0.995,0.91009,0.38336,0.42489,0.85675,0.000549036,0.000549036,0.000549036
26,112.23,0.55128,0.7404,0.94246,0.97588,0.98977,0.995,0.91556,0.37621,0.42933,0.83927,0.000534037,0.000534037,0.000534037
27,115.581,0.57277,0.69903,0.9562,0.98611,0.98105,0.995,0.91512,0.37549,0.41838,0.84602,0.000519039,0.000519039,0.000519039
28,120.215,0.57658,0.69451,0.96671,0.95447,0.9581,0.995,0.93605,0.36968,0.44413,0.85848,0.00050404,0.00050404,0.00050404
29,123.657,0.55798,0.69871,0.95267,0.97493,0.97571,0.995,0.92499,0.36322,0.385,0.85434,0.000489042,0.000489042,0.000489042
30,127.053,0.55117,0.67497,0.94364,0.98671,1,0.995,0.93063,0.37326,0.38066,0.86965,0.000474043,0.000474043,0.000474043
31,130.611,0.56554,0.66093,0.95683,0.95588,1,0.995,0.93678,0.34652,0.40364,0.86741,0.000459045,0.000459045,0.000459045
32,135.003,0.52273,0.64218,0.93323,0.93013,0.97708,0.995,0.92022,0.36826,0.43642,0.85838,0.000444046,0.000444046,0.000444046
33,138.337,0.52388,0.64079,0.94667,0.97845,0.98801,0.995,0.9267,0.37373,0.403,0.8521,0.000429048,0.000429048,0.000429048
34,141.712,0.51737,0.62725,0.93624,0.97545,0.99798,0.995,0.94479,0.33153,0.38683,0.84987,0.000414049,0.000414049,0.000414049
35,146.239,0.51559,0.63853,0.94195,0.9844,1,0.995,0.92587,0.36515,0.35484,0.84786,0.000399051,0.000399051,0.000399051
36,149.732,0.50841,0.58149,0.93519,0.96399,1,0.9848,0.92943,0.32473,0.38946,0.8463,0.000384052,0.000384052,0.000384052
37,153.04,0.50308,0.60837,0.93112,0.96364,1,0.9848,0.91975,0.3372,0.4106,0.847,0.000369054,0.000369054,0.000369054
38,156.455,0.51463,0.607,0.94478,0.96331,0.9989,0.99173,0.92871,0.33313,0.39522,0.84583,0.000354055,0.000354055,0.000354055
39,160.936,0.51825,0.59708,0.93502,0.96946,1,0.995,0.94609,0.3053,0.3759,0.84273,0.000339057,0.000339057,0.000339057
