epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4024,0.75634,3.27873,1.21919,0.791,0.63693,0.74837,0.69023,0.36421,2.01618,0.87721,0.00017271,0.00017271,0.00017271
2,31.0855,0.62132,1.52232,1.02751,0.76991,0.83935,0.8408,0.7394,0.49511,1.31471,0.97553,0.000345736,0.000345736,0.000345736
3,37.8853,0.66156,1.09873,1.03307,0.90106,0.78209,0.84332,0.73913,0.5187,1.49021,0.9507,0.000509763,0.000509763,0.000509763
4,44.9527,0.65566,0.95303,1.03437,0.64489,0.69882,0.77862,0.66542,0.6587,2.24389,1.1405,0.00066479,0.00066479,0.00066479
5,51.7607,0.68214,0.93287,1.05407,0.46944,0.68477,0.62214,0.52108,0.75317,3.00036,1.21876,0.000810819,0.000810819,0.000810819
6,58.649,0.67713,0.86873,1.04046,0.59109,0.8726,0.86063,0.72932,0.58037,1.34097,1.03429,0.000796511,0.000796511,0.000796511
7,65.6795,0.65468,0.76687,1.03345,0.8281,0.6953,0.84894,0.71331,0.63253,1.15675,1.1008,0.000774013,0.000774013,0.000774013
8,72.3727,0.64389,0.76853,1.0135,0.83393,0.71297,0.85855,0.74259,0.68199,0.94593,1.29696,0.000751516,0.000751516,0.000751516
9,79.9141,0.61155,0.66544,0.99607,0.70626,0.77302,0.80782,0.70279,0.58497,1.25921,1.08167,0.000729018,0.000729018,0.000729018
10,86.3752,0.63741,0.65954,1.01962,0.81997,0.80633,0.84389,0.72221,0.81856,1.0229,1.17075,0.00070652,0.00070652,0.00070652
11,93.792,0.64965,0.68083,1.01437,0.87496,0.93825,0.94222,0.82282,0.51185,0.70258,0.94238,0.000684022,0.000684022,0.000684022
12,100.327,0.63716,0.62699,1.02563,0.81903,0.89267,0.93092,0.84009,0.44173,0.89396,0.93223,0.000661525,0.000661525,0.000661525
13,107.767,0.57826,0.56381,1.00715,0.81627,0.89905,0.94786,0.83166,0.54515,0.93583,1.05167,0.000639027,0.000639027,0.000639027
14,114.345,0.61836,0.59628,1.01309,0.95016,0.95238,0.94112,0.88028,0.43538,0.40248,0.9136,0.000616529,0.000616529,0.000616529
15,121.983,0.58672,0.54307,0.98782,0.94811,0.94189,0.94459,0.85182,0.5232,0.44517,0.99066,0.000594031,0.000594031,0.000594031
16,128.581,0.58479,0.58928,0.98927,0.90144,0.93435,0.93148,0.86065,0.41755,0.43237,0.95079,0.000571534,0.000571534,0.000571534
17,136.044,0.59822,0.58281,0.99101,0.93106,0.94901,0.94112,0.87606,0.4031,0.46906,0.90556,0.000549036,0.000549036,0.000549036
18,142.707,0.54854,0.50481,0.97904,0.94862,0.94484,0.93765,0.83149,0.46596,0.47111,0.93932,0.000526538,0.000526538,0.000526538
19,150.256,0.56144,0.49186,0.96682,0.92229,0.95238,0.93765,0.88125,0.40335,0.36964,0.93406,0.00050404,0.00050404,0.00050404
20,157.222,0.55616,0.50694,0.98914,0.96163,0.95238,0.93092,0.85212,0.43222,0.35364,0.94298,0.000481543,0.000481543,0.000481543
21,164.631,0.57283,0.51839,0.97784,0.94417,0.93663,0.93445,0.86285,0.42841,0.35727,0.92172,0.000459045,0.000459045,0.000459045
22,172.095,0.56478,0.5098,0.98184,0.95142,0.95238,0.9427,0.88199,0.40694,0.29303,0.90704,0.000436547,0.000436547,0.000436547
23,179.208,0.56212,0.47593,0.98156,0.96622,0.933,0.94112,0.88473,0.42679,0.36921,0.90781,0.000414049,0.000414049,0.000414049
24,186.908,0.52034,0.40761,0.9654,0.95667,0.95238,0.93765,0.88364,0.3872,0.31919,0.86591,0.000391552,0.000391552,0.000391552
25,193.693,0.52872,0.44476,0.96203,0.95025,0.92924,0.94224,0.8877,0.3957,0.31937,0.88808,0.000369054,0.000369054,0.000369054
26,201.268,0.5315,0.42988,0.96806,0.95535,0.93373,0.95051,0.88227,0.43382,0.34654,0.92267,0.000346556,0.000346556,0.000346556
27,207.92,0.51965,0.41263,0.95915,0.9611,0.95238,0.94378,0.89406,0.40321,0.30308,0.88731,0.000324058,0.000324058,0.000324058
28,215.386,0.52476,0.41132,0.95991,0.95948,0.95238,0.93765,0.89546,0.35646,0.29928,0.8712,0.000301561,0.000301561,0.000301561
29,222.143,0.50178,0.41802,0.94545,0.95609,0.95238,0.95796,0.91885,0.38564,0.28393,0.87466,0.000279063,0.000279063,0.000279063
30,229.663,0.51287,0.4084,0.96581,0.96702,0.95238,0.96122,0.90507,0.39873,0.27361,0.90002,0.000256565,0.000256565,0.000256565
31,238.372,0.37525,0.2855,0.86075,0.95798,0.95238,0.93439,0.87544,0.39395,0.29667,0.87504,0.000234068,0.000234068,0.000234068
32,245.023,0.36173,0.2699,0.85238,0.9514,0.95102,0.93439,0.89728,0.38567,0.30359,0.86426,0.00021157,0.00021157,0.00021157
33,252.334,0.36256,0.2855,0.86582,0.96107,0.95238,0.92755,0.86521,0.42417,0.32282,0.87717,0.000189072,0.000189072,0.000189072
34,258.905,0.37509,0.27673,0.86398,0.80657,0.89134,0.88041,0.83539,0.38676,0.58378,0.88854,0.000166574,0.000166574,0.000166574
35,266.134,0.3696,0.28748,0.87086,0.96672,0.95238,0.92755,0.8862,0.36363,0.26463,0.87202,0.000144077,0.000144077,0.000144077
36,272.701,0.34665,0.23847,0.83498,0.96353,0.95238,0.92755,0.89017,0.35361,0.26352,0.86217,0.000121579,0.000121579,0.000121579
37,279.816,0.33883,0.23303,0.84931,0.96368,0.95074,0.92755,0.89443,0.34579,0.27053,0.8417,9.9081e-05,9.9081e-05,9.9081e-05
38,286.241,0.32725,0.23428,0.8498,0.96812,0.95238,0.92755,0.89501,0.34031,0.24861,0.8396,7.65832e-05,7.65832e-05,7.65832e-05
